Artist,Title,Lyrics,Mood
Ooklah The Moc,Hell Fire,"Oh, I see what you've done to me
The way you kill me and the way you rape me
But I can't wait forever for someone to come help me
As I can see us together, that's why I purge thee

[Chorus]
So I send down Jah Hell Fire
Sucking up the blood of the land to change the evil ways of man
So I send down Jah Hell Fire
Send it as a warning to change your evil ways
We send it as a warning to change your evil ways!

You think that I don't know of what you do
You think that I don't know what you've gone through
You don't see what you think of me
And so my children, oh, when are you gonna see?

[Chorus]
So I send down Jah Hell Fire
Sucking up the blood of the land to change the evil ways of man
So I send down Jah Hell Fire
Send it as a warning to change your evil ways
We send it as a warning to change your evil ways!

What you see and what you do
Will never be the same...

You think that I don't know of what you do
You think that I don't know what you've gone through
You don't see what you think of me
And so my children, oh, when are you gonna see?

[Chorus]
So I send down Jah Hell Fire
Sucking up the blood of the land to change the evil ways of man
So I send down Jah Hell Fire
Send it as a warning to change your evil ways
We send it as a warning to change your evil ways!

You're running away!
You're running away!
Don't worry son, thinks spark from this fire
You can't run from Jah love

Oh, Hell Fire!
Oh, Hell Fire!
Oh, Hell Fire!",angry
Shaggy,Angel ,"Girl, you're my angel, you're my darling angel
Closer than my peeps you are to me, baby
Shorty, you're my angel, you're my darling angel
Girl, you're my friend when I'm in need, lady

Life is one big party when you're still young
But who's gonna have your back when it's all done
It's all good when you're little, you have pure fun
Can't be a fool, son, what about the long run
Looking back Shorty always mention
Said me not giving her much attention
She was there through my incarceration
I wanna show the nation my appreciation

Girl, you're my angel, you're my darling angel
Closer than my peeps you are to me, baby
Shorty, you're my angel, you're my darling angel
Girl, you're my friend when I'm in need, lady

You're a queen and so you should be treated
Though you never get the lovin' that you needed
Could have left, but I called and you heeded
Begged and I pleaded, mission completed
Mama said that I and I dissed the program
Not the type to mess around with her emotion
But the feeling that I have for you is so strong
Been together so long and this could never be wrong

Girl, you're my angel, you're my darling angel
Closer than my peeps you are to me, baby
Shorty, you're my angel, you're my darling angel
Girl, you're my friend when I'm in need, lady

Girl, in spite of my behavior, said I'm your savior
(You must be sent from up above)
And you appear to me so tender, say girl I surrender
(Thanks for giving me your love)

Girl, in spite of my behavior, well, you are my savior
(You must be sent from up above)
And you appear to me so tender, well, girl I surrender
(Said thanks for giving me your love)

Now life is one big party when you're still young
And who's gonna have your back when it's all done
It's all good when you're little, you have pure fun
Can't be a fool, son, what about the long run
Looking back Shorty always mention
Said me not giving her much attention
She was there through my incarceration
I wanna show the nation my appreciation

Girl, you're my angel, you're my darling angel
Closer than my peeps you are to me, baby
Shorty, you're my angel, you're my darling angel
Girl, you're my friend when I'm in need, lady

Girl, you're my angel, you're my darling angel
Closer than my peeps you are to me, baby
Shorty, you're my angel, you're my darling angel
Girl, you're my friend when I'm in need, lady",relaxed
Sean Paul,I'm Still In Love With You ,"Ring, come on ting dem call a broken heart
This blessed love will never part
Say I know it from de start mi tell them say A dutty yeh
Sean Paul & Sasha.. come sing for them baby
You know you make me holla boy you make me shout
But I can't get your tenderness
Still I can't get you off my mind
What is it about you baby
(A dutty dutty love)
I'm still in love with you boy?
Well I'm a hustler and a player
And you know I'm not a stayer
(dutty dutty dutty love)
I'm still in love with you boy?
Say girly, try to understand
That a man is just a man
That's the dutty dutty love
I'm still in love with you boy?
Blessed loving from the start
But you know we had to part
That's the way I give my love
I'm still in love .. with you?
(But a man gotta do what a man gotta doooo?)
Girl, well a never had to promise you no
Bling bling fi hold you girl
A just the loving when me fling fling control you girl
And make you head swirl
And make you body twirl
And make you wanna be my one and only baby girl
Night after night me give you love fi keep you warm
Gal you never get this kinda loving from ya man
And now you want draw card say me just can't perform
I love you baby
A true you get the little loving and me gone
You don't know how to love me
I And I nah no time fi no kiss up an charm
Not even how to kiss me
A true me take you little heart by storm
I don't know why .. I love you baby
A just the dutty dutty love
I'm still in love with you boy?
Well I'm a hustler and a player and you know I'm not a stayer
That's the dutty dutty love
I'm still in love with you boy?
Say girly, can't you understand that a man is just a man
That's the dutty dutty love
I'm still in love with you boy?
Blessed loving from the start but you know we had to part
That's the way I give my love
I'm still in love with you?
But a man gotta do what a man gotta do?girl
A true me give her tug love and say bye bye bye
Me turn around she ask the question why why why
When me leaving me see the gal a cry cry cry
And it hurts my heart to tell a lie lie lie
So don't cry no more
Baby girl for sure
Just remember the good times we had before
I love you baby
A true you get the little loving and me gone
You don't know how to love me
I And I nah no time fi no kiss up an charm
Not even how to kiss me
A true me take you little heart by storm
I don't know why .. I love you baby
A just the dutty dutty love
I'm still in love with you boy?
Well I'm a hustler and a player and you know I'm not a stayer
That's the dutty dutty love
I'm still in love with you boy?
Say girl, try to understand that a man is just a man
That's the way I give my love
I'm still in love with you boy?
Blessed loving from the start but you know we had to part
That's the dutty dutty love
I'm still in love with you?
But a man gotta do what a man gotta do?girl
I don't know why
I don't know why
I don't know why
I don't know
I don't know
I don't know
I don't know why
I'm still in love with you boy",happy
The Beach Boys,Good Vibrations,"I-I love the colorful clothes she wears
And the way the sunlight plays upon her hair
I hear the sound of a gentle word
On the wind that lifts her perfume through the air

I'm pickin' up good vibrations
She's giving me excitations (Oom bop bop)
I'm pickin' up good vibrations (Good vibrations, oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations (Oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations (Oom bop bop)
She's giving me excitations (Excitations)

Close my eyes, she's somehow closer now
Softly smile, I know she must be kind
When I look in her eyes
She goes with me to a blossom world

I'm pickin' up good vibrations
She's giving me excitations (Oom bop bop)
I'm pickin' up good vibrations (Good vibrations, oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations (Oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations (Oom bop bop)
She's giving me excitations (Excitations)

(Ahh)
(Ah, my my, what elation)
I don't know where but she sends me there
(Oh, my my, what a sensation)
(Oh, my my, what elation)
(Oh, my my, what)

Gotta keep those lovin' good vibrations a-happenin' with her
Gotta keep those lovin' good vibrations a-happenin' with her
Gotta keep those lovin' good vibrations a-happenin'

(Ahh)

Good, good, good, good vibrations (Oom bop bop)
(I'm pickin' up good vibrations) (Oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations

Na na na na na, na na na
Na na na na na, na na na (Bop bop-bop-bop-bop, bop)
Do do do do do, do do do (Bop bop-bop-bop-bop, bop)
Do do do do do, do do do (Bop bop-bop-bop-bop, bop)
",relaxed
Orleans,Still The One,"We've been together since way back when
Sometimes I never want to see you again
But I want you to know, after all these years
You're still the one I want whisperin' in my ear
You're still the one -- I want to talk to in bed
Still the one -- that turns my head
We're still having fun, and you're still the one
I looked at your face every day
But I never saw it 'til I went away
When winter came, I just wanted to go (wanted to go)
Deep in the desert, I longed for the snow
You're still the one -- that makes me laugh
Still the one -- that's my better half
We're still having fun, and you're still the one
You're still the one -- that makes me strong
Still the one -- I want to take along
We're still having fun, and you're still the one (yes you are)
Changing, our love is going gold
Even though we grow old, it grows new
You're still the one -- that I love to touch
Still the one -- and I can't get enough
We're still having fun, and you're still the one
You're still the one -- who can scratch my itch
Still the one -- and I wouldn't switch
We're still having fun, and you're still the one
You are still the one -- that makes me shout
Still the one -- that I dream about
We're still having fun, and you're still the one
You're still the one, yeah still the one
We're still having fun, and you're still the one",happy
The Babys,Every Time I Think Of You,"Everytime I think of you it always turns out good
Everytime I've held you I thought you understood
People say a love like ours will surely pass
But I know a love like ours will last and last

But maybe I was wrong not knowing how our love should go
(How our love, how our love should go)
But I wasn't wrong in knowing how our love would grow
(How our love, how our love would grow)

And everytime I think of you (Everytime)
Everytime I think of you (Every single time)
It always turns out good

Seasons come and seasons go but our love will never die
Let me hold you, darlin', so you won't cry
'Cause people say that our love affair will never last
But we know a love like ours will never pass

But maybe I was wrong not knowing how our love should go
(How our love, how our love should go)
But I wasn't wrong in knowing how our love would grow
(How our love, how our love would grow)

And everytime I think of you (Everytime)
Everytime I think of you (Every single time)
It always turns out good

People say a love like ours will surely pass
But I know a love like ours will last and last

But maybe I was wrong not knowing how our love should go
(How our love, how our love should go)
But I wasn't wrong in knowing how our love would grow
(How our love, how our love would grow)

And everytime I think of you
Everytime I think of you
Everytime I think of you
It always turns out good

Everytime I think of you
Everytime I think of you
Everytime I think of you
Everytime I think of you

Everytime I think of you
Everytime I think of you
Everytime I think of you
Everytime I think of you

Everytime I think of you
Everytime I think of you",happy
R.E.M.,The One I Love,"This one goes out to the one I love
This one goes out to the one I've left behind
A simple prop to occupy my time
This one goes out to the one I love
Fire
Fire
This one goes out to the one I love
This one goes out to the one I've left behind
A simple prop to occupy my time
This one goes out to the one I love
Fire
Fire
This one goes out to the one I love
This one goes out to the one I've left behind
Another prop has occupied my time
This one goes out to the one I love
Fire
Fire
Fire
Fire",angry
The Cure,Lovesong,"Whenever I'm alone with you
You make me feel like I am home again
Whenever I'm alone with you
You make me feel like I am whole again
Whenever I'm alone with you
You make me feel like I am young again
Whenever I'm alone with you
You make me feel like I am fun again
However far away
I will always love you
However long I stay
I will always love you
Whatever words I say
I will always love you
I will always love you
Whenever I'm alone with you
You make me feel like I am free again
Whenever I'm alone with you
You make me feel like I am clean again
However far away
I will always love you
However long I stay
I will always love you
Whatever words I say
I will always love you
I will always love you'",happy
Annie Lennox,Walking On Broken Glass,"Walking on, walking on broken glass
Walking on, walking on broken glass

You were the sweetest thing that I ever knew
But I don't care for sugar, honey, if I can't have you
Since you've abandoned me
My whole life has crashed
Won't you pick the pieces up
'Cause it feels just like I'm walking on broken glass

Walking on, walking on broken glass

The sun's still shining in big blue sky
But it don't mean nothing to me
Oh, let the rain come down
Let the wind blow through me
I'm living in an empty room
With all the windows smashed
And I've got so little left to lose
That it feels just like I'm walking on broken glass

And if you're trying to cut me down
You know that I might bleed
'Cause if you're trying to cut me down
I know that you'll succeed
And if you want to hurt me
There's nothing left to fear
'Cause if you want to hurt me
You're doing really well, my dear

Now everyone of us was made to suffer
Everyone of us was made to weep
We've been hurting one another
Now the pain has cut too deep
So take me from the wreckage
Save me from the blast
Lift me up and take me back
Don't let me keep on walking
I can't keep on walking, keep on walking on broken glass

Walking on, walking on broken glass
Walking on, walking on broken glass
Walking on, walking on broken glass
Walking on, walking on broken glass

",sad
Soft Cell,Tainted Love,"Sometimes I feel I've got to
Run away, I've got to
Get away from the pain you drive into the heart of me
The love we share
Seems to go nowhere
And I've lost my light
For I toss and turn, I can't sleep at night

Once I ran to you (I ran)
Now I'll run from you
This tainted love you've given
I give you all a boy could give you
Take my tears and that's not nearly all
Tainted love (oh)
Tainted love

Now I know I've got to
Run away, I've got to
Get away, you don't really want any more from me
To make things right
You need someone to hold you tight
And you think love is to pray
But I'm sorry, I don't pray that way

Once I ran to you (I ran)
Now I'll run from you
This tainted love you've given
I give you all a boy could give you
Take my tears and that's not nearly all
Tainted love (oh)
Tainted love

Don't touch me, please
I cannot stand the way you tease
I love you though you hurt me so
Now I'm gonna pack my things and go

Tainted love (oh)
Tainted love (oh)
Tainted love (oh)
Tainted love (oh)

Touch me, baby, tainted love
Touch me, baby, tainted love
Tainted love (oh)
Tainted love (oh)

Tainted love
Tainted love

",happy
Lenny Kravitz,Again,"I been searching for you
I heard a cry within my soul
I never had a yearning quite like this before
Now that you are walking right through my door
All of my life
Where have you been
I wonder if I'll ever see you again
And if that day comes
I know we could win
I wonder if I'll ever see you again
A sacred gift of heaven
For better worse, wherever
And I would never let somebody break you down
Until you cried, never
All of my life
Where have you been
I wonder if I'll ever see you again
And if that day comes
I know we could win
I wonder if I'll ever see you again
At every time I've always known
That you where there, upon your throne
A lonely queen without her king
I longed for you, my love forever
All of my life
Where have you been
I wonder if I'll ever see you again
And if that day comes
I know we could win
I wonder if I'll ever see you again
All of my life
Where have you been
I wonder if I'll ever see you again
And if that day comes
I know we could win
I wonder if I'll ever see you again
I wonder if I'll ever see you again
I wonder if I'll ever see you again
I wonder if I'll ever see you again
I wonder if I'll ever see you again
I wonder if I'll ever see you again
",happy
Cyndi Lauper,Time After Time,"Lying in my bed I hear the clock tick,
And think of you
Caught up in circles confusion--
Is nothing new
Flashback--warm nights--
Almost left behind
Suitcases of memories,
Time after--
Sometimes you picture me--
I'm walking too far ahead
You're calling to me, I can't hear
What you've said--
Then you say--go slow--
I fall behind--
The second hand unwinds
If you're lost you can look--and you will find me
Time after time
If you fall I will catch you--I'll be waiting
Time after time
After my picture fades and darkness has
Turned to gray
Watching through windows--you're wondering
If I'm OK
Secrets stolen from deep inside
The drum beats out of time--
If you're lost you can look--and you will find me
Time after time
If you fall I will catch you--I'll be waiting
Time after time
You said go slow--
I fall behind
The second hand unwinds--
If you're lost you can look--and you will find me
Time after time
If you fall I will catch you--I'll be waiting
Time after time
Time after time...
Time after time...
Time after time...
Time after time...",sad
Falco,Rock Me Amadeus,"Rock me all the time to the top
Er war ein Punker
Und er lebte in der gro�en Stadt
Es war in Wien, war Vienna
Wo er alles tat
Er hatte Schulden denn er trank
Doch ihn liebten alle Frauen
Und jede rief
Come and rock me Amadeus
Er war Superstar
Er war popul�r
Er war so exaltiert
Because er hatte Flair
Er war ein Virtuose
Er war ein Rockidol
Und alles rief
Come and rock me Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, oh, oh, oh Amadeus
Come and rock me Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, oh, oh, oh Amadeus
Ey
Es war um siebzehn hundert achtzig
Und es war in Wien
No plastic money anymore
Die Banken gegen ihn
Woher die Schulden kamen
War wohl jedermann bekannt
Er war ein Mann der Frauen
Frauen liebten seinen Punk
Er war Superstar
Er war popul�r
Er war so exaltiert
Genau das war sein Flair
Er war ein Virtuose
War ein Rockidol
Und alles ruft
Come and rock me Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, oh, oh, oh Amadeus
Come and rock me Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, oh, oh, oh Amadeus
Come and rock me Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, oh, oh, oh Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, oh, oh, oh Amadeus
Amadeus, Amadeus
Amadeus, Amadeus
Amadeus
",angry
The Fixx,Saved By Zero,"Maybe someday, saved by zero
I'll be more together
Stretched by fewer thoughts that leave me
Chasing after my dreams, disown me, loaded with danger
So maybe I'll win (saved by zero)
Maybe I'll win (saved by zero)
Holding onto words that teach me
I will conquer space around me
So maybe I'll win (saved by zero)
Maybe I'll win (saved by zero)
Maybe I'll win (saved by zero)
Maybe I'll win (saved by zero)
So maybe I'll win (saved by zero)
Maybe I'll win (saved by zero)
Maybe I'll win (saved by zero)
Who needs to win (saved by zero)
Saved by, saved by, save-saved by zero
Saved by, saved by, save-saved by zero
Saved by, saved by, save-saved by zero (saved by zero)
Saved by, saved by, save-saved by zero
Saved by, saved by, save-saved by zero
Saved by zero (saved by, saved by, save-saved by zero)",happy
Gino Vannelli,Living Inside Myself,"In my life
I've felt so self assured
But suddenly it's all changed
She's a cloud
That hangs above my world
And I find myself wandering in the rain
And now I can't go on

'Cause I am lost
Living inside myself
Living inside this shell
Living outside your love
I am lost
Somewhere inside my own dreams
Afraid of what life really means
Living without your love

I need her guiding light
To shine on my darkest days
I was young, and time was on my side
But like a fool I let it slip away
And now those days are gone

And I am lost
Living inside myself
Living inside this shell
Living outside your love
I am lost
Somewhere inside my own dreams
Afraid of what life really means
Living without your love

In my life
I've felt so self-assured
But oh how the seasons change
And now I'm not that strong

'Cause I am lost
Living inside myself
Living inside this hell
Living outside your love
I am lost
Somewhere inside my own dreams
Afraid of what life really means
Living without your love

I am lost
Living inside myself
Living inside this shell
Living outside your love
I am lost",angry
Aretha Franklin,Respect,"What you want
Baby, I got it
What you need
Do you know I got it
All I'm askin'
Is for a little respect when you get home (just a little bit)
Hey baby (just a little bit) when you get home
(Just a little bit) mister (just a little bit)
I ain't gonna do you wrong while you're gone
Ain't gonna do you wrong cause I don't wanna
All I'm askin'
Is for a little respect when you come home (just a little bit)
Baby (just a little bit) when you get home (just a little bit)
Yeah (just a little bit)

I'm about to give you all of my money
And all I'm askin' in return, honey
Is to give me my propers
When you get home (just a, just a, just a, just a)
Yeah baby (just a, just a, just a, just a)
When you get home (just a little bit)
Yeah (just a little bit)
Ooo, your kisses
Sweeter than honey
And guess what?
So is my money
All I want you to do for me
Is give it to me when you get home (re, re, re ,re)
Yeah baby (re, re, re ,re)
Whip it to me (respect, just a little bit)
When you get home, now (just a little bit)

R-E-S-P-E-C-T
Find out what it means to me
R-E-S-P-E-C-T
Take care, TCB
Oh (sock it to me, sock it to me, sock it to me, sock it to me)
A little respect (sock it to me, sock it to me, sock it to me, sock it to me)
Whoa, babe (just a little bit)
A little respect (just a little bit)
I get tired (just a little bit)
Keep on tryin' (just a little bit)
You're runnin' out of fools (just a little bit)
And I ain't lyin' (just a little bit)
(Re, re, re, re) when you come home
(Re, re, re ,re) 'spect
Or you might walk in (respect, just a little bit)
And find out I'm gone (just a little bit)
I got to have (just a little bit)
A little respect (just a little bit)",relaxed
Melissa Etheridge,I'm The Only One,"You and me, we made a vow
For better or for worse
I can't believe you let me down
But the proof is in the way it hurts
For months on end I've had my doubts
Denying every tear
I wish this would be over now
But I know that I still need you here

[Chorus]
You say I'm crazy
Cause you don't think I know what you've done
But when you call me baby
I know I'm not the only one

[Verse 2]
You've been so unavailable
Now sadly I know why
Your heart is unobtainable
Even though Lord knows you kept mine

[Chorus]
You say I'm crazy
Cause you don't think I know what you've done
But when you call me baby
I know I'm not the only one

[Bridge]
I have loved you for many years
Maybe I am just not enough
You've made me realise my deepest fear
By lying and tearing us up

[Chorus]
You say I'm crazy
Cause you don't think I know what you've done
But when you call me baby
I know I'm not the only one

[Chorus]
You say I'm crazy
Cause you don't think I know what you've done
But when you call me baby
I know I'm not the only one

[Outro]
I know I'm not the only one
I know I'm not the only one
I know I'm not the only one
And I know, and I know, and I know, and I know, and I know, and I know, know
I know I'm not the only one",angry
