Artist,Title,Lyrics,Mood
Deitrick Haddon,Love Him Like I Do ,"Love him like I do [x8]

Giving honor to you first
The Pastor, the church
My folks and friends
Listen to these words
See God saved me (yeah)
From myself when no one else was around
And it was only by his grace
His mercy His favor
Cause I know I don't deserve
All the love he show (oh)
And how he let me know (oh)
He never gonna leave my side

That's why I love him like I do
I Love him like I do
I Love him like I do
That's why I love him like I do
I, I
[x2]

See I got a testimony how He saved my soul
When I was just a sinner left in the cold
Gave me a second chance
Saved me from myself
Came to my rescue
When I needed help
You want to know why I love him like I do
Cause when my enemies said I was thru
He took me from the bottom
And put me on the top
He laid his hands on me
And now I can't be stopped

That's why I love him like I do
I Love him like I do (my my my)
I Love him like I do (I do, I do, do do do)
That's why I love him like I do (I love him like I do I love him like I do)
I, I
[x2]

Somebody told me that we overcome by our testimony
Bet you wouldn't believe how doubt and fear used to paralyze me
God's hand led me thru the test
And he brought out the very best of me
And now I never forget
To tell the world what you mean to me (ye... ah... yeah)

That's why I love him like I do
I Love him like I do
I Love him like I do
That's why I love him like I do
I, I
[x2]

Let me tell you why I love [x2]
Because he been so good me
He takes care of me
He keeps love me yeah
I love him
I love him

I Love him like I do
I Love him like I do
I Love him like I do
I Love him like I do",happy
The Jackson 5,ABC,"You went to school to learn girl
Things you never, never knew before
Like  I  before  E  except after  C
And why 2 plus 2 makes 4
Now, now, now
I'm gonna teach you
(Teach you, teach you)
All about love girl
(All about love)
Sit yourself down, take a seat
All you gotta do is repeat after me

A B C
It's easy as, 1 2 3
As simple as, do re mi
A B C, 1 2 3
Baby, you and me girl
A B C
It's easy as, 1 2 3
As simple as, do re mi
A B C, 1 2 3
Baby, you and me girl

Come on and love me just a little bit
Come on and love me just a little bit
I'm gonna teach you how to sing it out
Come on, come on, come on
Let me show you what it's all about
Reading, writing, arithmetic
Are the branches of the learning tree
But listen without the roots of love everyday girl
Your education ain't complete
Tea-Tea-Teacher's gonna show you
(She's gonna show you)
How to get an  A  (na-na-na-naaaaaa)
How to spell  me ,  you , add the two
Listen to me, baby
That's all you got to do

Oh, A B C
It's easy as, 1 2 3
As simple as, do re mi
A B C, 1 2 3
Baby, you and me girl
A B C it's easy,
It's like counting up to 3
Sing a simple melody
That's how easy love can be
That's how easy love can be
Sing a simple melody
1 2 3
You and me

Sit down girl,
I think I love ya'
No, get up girl
Show me what you can do
Shake it, shake it baby, come on now
Shake it, shake it baby, oooh, oooh
Shake it, shake it baby, yeah
1 2 3 baby, oooh oooh
A B C baby, ah, ah
Do re mi baby, wow
That's how easy love can be
A B C it's easy
It's like counting up to 3
Sing a simple melody
That's how easy love can be
I'm gonna teach you
How to sing it out
Come-a, come-a, come-a
Let me show you what's it's all about
A B C it's easy
It's like counting up to 3
Sing a simple melody
That's how easy love can be

I'm gonna teach you
How to sing it out
Sing it out, sing it out
Sing it, sing it
A B C it's easy
It's like counting up to 3
Sing a simple melody
That's how easy love can be",relaxed
Maysa,The Lady In My Life,"There will be no darkness tonight
Baby our love will shine
Just put your trust in my heart
And meet me in paradise
Boy you're every wonder in this world to me
A treasure time will steal away

So listen to my heart
Lay your body close to mine
Let me feel you in my dreams
I can make you feel alright
And baby through the years
Gonna love you more each day
So I promise you tonight
I will always be the lady in your life

Lay back on my tenderness
Let's make this a night we won't forget
Oh I need your sweet caress
Reach out to our fantasy
Two hearts in the beat of ecstasy
Come to me boy

And I will keep you warm
Through the shadows of the night
Let me touch you with my love
I will make you feel so right
And baby through the years
Even when we're old and gray
I will love you more each day
'Cause I will always be the lady
Always be the lady in your life

Always the lady in your life

Stay with me
Always the lady in your life
I want you to stay with me
Always the lady in your life
I need you by my side
Always the lady in your life
Oh yeah baby

Always the lady in your life
'Cause I love you, yes I do
Always the lady in your life
And I need you baby
Always the lady in your life
More than you'll ever know
Always the lady in your life
I love you baby

Always the lady in your life
And I've gotta let it show
Always the lady in your life
And I... I love you baby
Always the lady in your life
I need you baby
Always the lady in your life

Don't you see I love you boy
Don't you see I love you baby

Always the lady in your life
Always the lady in your life
Always the lady in your life",happy
Ryan Shaw,We Got Love,"Baby when I'm wrapped up in your arms it never rains
And I'm praying for more, more and more each and every day, ah baby
We're flying high and no one can deny
They can tell by the look in your eyes
We got love, you got me
If I got you baby, we got more than money, yeah
You are everything a man's been dreaming of
Oh we got love, baby we got love, oh yeah
And you know I love to see you smile, oh
And what you done for me, what you done for me makes it all worthwhile, ah baby
Cause you, you are my desire
And with the slightest touch, with the slightest touch my soul's on fire
We got love, you got me
If I got you baby, we got more than money, yeah
You are everything a man's been dreaming of
Oh we got love, baby we got love, oh yeah
Storms are gonna rise, winds are gonna blow
But it ain't no need to worry as long as we know, as long as we know
Cause I been near, I been around
But we won't let nothing, nothing shake the love we found
We got love, baby we got love.
Oh yeah love, baby we got love
I know we got a got a got a got love
So we need a need a little bit of love
Baby we got a we got a love
Oh, love, oh love",happy
The Paris Sisters,I Love How You Love Me,"I love how your eyes close whenever you kiss me
And when I'm away from you I love how you miss me
I love the way you always treat me tenderly
But, darling, most of all I love how you love me
(Love how you love me)
I love how your heart beats whenever I hold you
I love how you think of me without being told to
I love the way your touch is always heavenly
But, darling, most of all I love how you love me
(Love how you love me)
I love how your eyes close whenever you kiss me
And when I'm away from you I love how you miss me
I love the way your touch is always heavenly
But, darling, most of all I love how you love me
(Love how you love me)
I love how you hug me (love how you hug me)
I love how you squeeze me, tease me, please me
Love, how you love me
I love how you love me",happy
New Direction,I Came To Jesus,"I was messed up, dirty as I could be,
I was on my way to hell
But I heard the preacher,
Preaching the Word of God,
Confess your sins and repent

I came to Jesus as I was,
Weary, worn, and sad
I found in Him a resting place
And He has made, made me glad

I asked the Lord,
�how could He love me,
I have sinned against Your will�
But He said, �repent and I will forgive you,
The question's who will you serve?�

You might be dirty, messed up inside,
You may even have lost your will to live
Don't be discouraged, don't throw in the towel,
Confess your sins and repent so you can be like me

Weary

Jesus",sad
Kurt Carr & The Kurt Carr Singers,God Great God,"[Verse:]
Glory and honor, dominion and power
Now and forever the Lord, God Omnipotent
Reigneth with power, forever with power
Greater than all, You are Sovereign God

[Chorus:]
God, great God, worthy of honor and glory
We stand here in reverence
Blessed in Your presence
Jehovah, forever and ever our God

[Verse]

[Chorus 2:]
God, great God, worthy of honor and glory

We stand here in reverence
Blessed in Your presence
Jehovah, forever and ever
Forever and ever

[Chorus 1]

[Vamp 1:]
God, great God
God, great, God, Jehovah

God, great God
God, great God forever

[Vamp 2:]
Nobody greater
Nobody greater
Nobody greater
Greater than my God

[Vamp 1]

[Vamp 2]

[Vamp 3:]
God, great God
God, great God, Jehovah

God, great God, woo, woo
God, great God forever",happy
Kenny Lattimore,And I Love Her,"I give her all my love
That's all I do
And if you saw my love
You'd love her too
I love her
She gives me everything
And tenderly
The kiss my lover brings
She brings to me
And I love her",happy
Jordin Sparks,Battlefield,"Don't try to explain your mind
I know what's happening here
One minute it's love and suddenly
It's like a battlefield
One word turns into a war
Why is it the smallest things that tear us down
My world's nothing when you're gone
I'm out here without a shield
Can't go back now

Both hands tied behind my back for nothing, oh, no
These times when we climb so fast to fall again
Why we gotta fall for it now

I never meant to start a war
You know I never wanna hurt you
Don't even know what we're fighting for

Why does love always feel like ...
a battlefield (battlefield)
a battlefield (battlefield)
a battlefield (battlefield)
[repeat]
Why does love always feel like

Can't swallow our pride,
Neither of us wanna raise that flag
If we can't surrender
then we both gonna lose what we had, oh no

Both hands tied behind my back for nothing (nothing)
Oh no, these times when we climb so fast to fall again
I don't wanna fall for it now

I never meant to start a war
You know I never wanna hurt you
Don't even know what we're fighting for

Why does love always feel like ...
a battlefield (battlefield)
a battlefield (battlefield)
a battlefield (battlefield)
[repeat]

I guess you better go and get your armor
(get your armor)
Get your armor (get your armor)
I guess you better go and get your armor
(get your armor)
Get your armor (get your armor)
I guess you better go and get your

We could pretend that we are friends tonight
And in the morning we'll wake up and we'll be alright
Cause baby we don't have to fight
And I don't want this love to feel like

A battlefield (oh), a battlefield (oh), a battlefield,
Why does love always feel like a battlefield (oh),
A battlefield (oh), a battlefield

I guess you better go and get your armor
I never meant to start a war (start a war)
You know I never wanna hurt you
Don't even know what we're fighting for
(fighting, fighting for)

Why does love always feel like ...
a battlefield (battlefield)
a battlefield (battlefield)
a battlefield (battlefield)
[repeat]

I guess you better go and get your armor
(get your armor)
Get your armor (get your armor)
I guess you better go and get your armor
(get your armor)
Get your armor (get your armor)

[slowly fade]
Why does love always feel like
(whoa ooow)
Why does love always feel like
(whoa ooow)
A battlefield, a battlefield..

[(whoa ooow) throughout to end]
I never meant to start a war
Don't even know what we're fighting for
I never meant to start a war
Don't even know what we're fighting for
(whoa ooow)
[fade out]

",angry
Spoon,You Got Yr. Cherry Bomb,"Life can be so fair
Let it go on and on
I can push for good
You got that cherry bomb
Blow out that cherry bomb for me
We lost it long ago
You and me
Now you know your way back from the spirit far
Brush your teeth for bed
Blow out that cherry bomb
Blow out that cherry bomb for me
You got to know it's on your sleeve
Know it's on your sleeve
Know it's on your sleeve (come on)
It was the longest day that I had ever known
I watched you start that drive alone
Blow out that cherry bomb for me
It's gonna burn right up your sleeve
Burn right up your sleeve
So there you go again
Out in your dressing gown
Get yourself to bed
Blow out that cherry bomb
Oh, life can be so fair
Let it go on and on
I could pay to have all your cherry bomb
Oh, life can be so fair
Let it go on and on
I could pay to have all your cherry bomb",angry
Tarralyn Ramsey,Peace Of God,"Oh peace of God
Reign on me
My spirit's calling
To be free
My heart is heavy
I'm weighted down
For I know that your
Presence will always be around

Repeat 3 times

Ooh mmmmmm

For the peace of god
Surpasses all understanding
For the peace of God
Supasses all understanding",relaxed
Tyrese,One,"Let me start by sayin' that you're the one
'Cause this' the first time I felt like this players done (ohh)
You're the only number that I dial (fuck them other chicks)
You're the only sex I'm gettin' now (ain't that a trip)
But it don't matter ('cause you're with it)
And it don't matter (but then I get it)
'Cause you're the only one

[1]
I'mma be good with just one girl
One girl
That's all I need
I'mma be straight with just one crib and two whips
'Cause I'm grown and that's all that I need
Is one ghetto girl to make my babies with
One ghetto girl I'm shakin' all of my chicks
That's why I'm down on one knee with one ring
Baby all I need is one

Ain't nothing gonna stop me from lovin' you
And wife'in you
Spendin' all my life with you
Baby
I'm so committed
This one is one I'm with it
It's so damn good
All the sex you want without no hat (imagine that)
Got a real nigga thats gon' have your back (imagine that)
That's just the way it is
And that's just how it's gon' go
And you gon' be that one

[repeat 1]

Girl I ain't gonna front about it down and tell the truth about it (way gone)
Way gone
Ain't nothing I won't give up just to make you that one
Baby that one girl

One step
One breath
One love
One name
So it's one me
One ring
One church
And one preacher
One promise
Two little words

[repeat 1]

Just one
One girl
One girl
Baby all I need is one (all I need is one)
One girl (one)
One girl (baby your the one)
Baby all I need is one
One me
One ring
One church
",relaxed
Dr. Dog,Where'd All The Time Go?,"Where'd all the time go?
It's starting to fly
See how the hands go
Waving goodbye
And you know I get so forgetful
When I look in your eyes
Now she's walking backwards (now she's walking backwards)
Through a parade (parade)
And I'm stuck in the shadow (I'm stuck in the shadow)
Blocking the shade (shade)
And there ain't no way to sweep up
The mess that we've made
She gets dressed up like a pillow
So she's always in bed
Flowers for the sick and dead
She's on the go, way too fast and way too slow
She'll turn to stone at hospitals and funeral homes
And when the fog rises
Somebody sighs who is not in disguise anymore
There's nothing to keep you (nothing to keep you)
From falling in love
It starts at the bottom (it starts at the bottom)
And comes from above
Like pieces of a puzzle
Like a hand in a glove
She gets dressed up like a pillow
So she's always in bed
Flowers for the sick and dead
She's on the go, way too fast and way too slow
She'll turn and stop at hospitals and funeral homes
And when the tide rises
Somebody sinks and is gone in the blink of an eye
Somebody sinks and is gone in the blink of an eye",sad
Tarralyn Ramsey,Unconditional Love,"Been in love so many times before
Everyone I loved walked right out the door
But I never knew that I'd
Find someone like you

Take me by the hand
And help me to stand
I never knew that I'd find someone

Chorus:
Give me unconditional love (repeat 3 times)

Vamp:
Love me right
Hold me tight
Lord I love you
Lord I love you",happy
